Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
7,7,0,0.994125,0.993827,0.999554,1.000000,0.924971,1.000000,0.883548,89.206341,0.000603
19,12,29,0.983545,0.988444,0.998069,1.000000,0.729554,1.000000,0.625579,190.707303,0.000537
23,4,40,0.982854,0.986901,0.997772,1.000000,0.743973,1.000000,0.656305,211.650575,0.000464
27,4,41,0.981412,0.985821,0.997564,1.000000,0.738778,0.956196,0.662809,237.907468,0.000461
36,9,60,0.976639,0.984123,0.997356,1.000000,0.681126,0.817817,0.636533,284.607821,0.000407
44,8,65,0.974349,0.982117,0.997044,1.000000,0.664480,0.761222,0.632456,333.510587,0.000387
50,6,70,0.969747,0.978880,0.996777,1.000000,0.654833,0.735784,0.628142,349.281456,0.000363
63,13,165,0.962537,0.973866,0.996420,0.998944,0.632846,0.718592,0.600160,370.873325,0.000317
75,12,184,0.960532,0.972484,0.995766,0.998944,0.618970,0.655697,0.606276,433.564010,0.000297
85,10,191,0.955617,0.969244,0.994860,0.998944,0.626739,0.663617,0.614056,485.707392,0.000280
97,12,193,0.954044,0.966003,0.994326,0.998944,0.618380,0.648735,0.608719,524.118509,0.000266
105,8,207,0.950095,0.962454,0.994036,0.998944,0.632773,0.646797,0.628416,573.104304,0.000268
112,7,225,0.945123,0.961000,0.993754,0.998798,0.644466,0.633042,0.648200,667.156133,0.000287
118,6,236,0.941977,0.959457,0.993501,0.998798,0.655623,0.624173,0.665505,686.661729,0.000272
127,9,257,0.937718,0.953284,0.992387,0.998798,0.678898,0.669281,0.682110,725.869474,0.000256
